,precision,recall,f1-score,support
positive,0.6401151631477927,0.47745168217609163,0.5469454694546946,1397.0
neutral,0.07142857142857142,0.002320185614849188,0.0044943820224719105,431.0
negative,0.6604260813428018,0.8796216680997421,0.754424778761062,2326.0
accuracy,0.6533461723639865,0.6533461723639865,0.6533461723639865,0.6533461723639865
macro avg,0.45732327197305533,0.4531311786302276,0.4352882100794095,4154.0
weighted avg,0.5924837896982518,0.6533461723639865,0.6068396569278103,4154.0
