,precision,recall,f1-score,support
positive,0.8701725554642563,0.7618705035971223,0.812428078250863,1390.0
neutral,0.6197107659346546,0.7870748299319728,0.6934372190590351,1470.0
negative,0.7200342465753424,0.6041666666666666,0.65703125,1392.0
accuracy,0.7189557855126999,0.7189557855126999,0.7189557855126999,0.7189557855126999
macro avg,0.7366391893247511,0.7177040000652539,0.7209655157699659,4252.0
weighted avg,0.7344314085729386,0.7189557855126999,0.7204175072402356,4252.0
