,precision,recall,f1-score,support
positive,0.7910614525139665,0.7670639219934995,0.7788778877887789,923.0
neutral,0.7257501744591766,0.7872823618470856,0.7552650689905592,1321.0
negative,0.7424657534246575,0.6658476658476659,0.7020725388601037,814.0
accuracy,0.7488554610856769,0.7488554610856769,0.7488554610856769,0.7488554610856769
macro avg,0.7530924601326001,0.7400646498960836,0.7454051652131474,3058.0
weighted avg,0.7499126306143344,0.7488554610856769,0.7482329931974153,3058.0
