,precision,recall,f1-score,support
positive,0.8503861003861004,0.7880143112701252,0.8180129990714949,1118.0
neutral,0.7457158651188502,0.8322023442319556,0.7865889212827988,1621.0
negative,0.7634408602150538,0.6776246023329798,0.7179775280898877,943.0
accuracy,0.7791960890820206,0.7791960890820206,0.7791960890820206,0.7791960890820206
macro avg,0.7865142752400015,0.7659470859450201,0.7741931494813938,3682.0
weighted avg,0.7820374276947616,0.7791960890820206,0.7785583876561957,3682.0
