,precision,recall,f1-score,support
positive,0.85,0.758273381294964,0.8015209125475286,1390.0
neutral,0.6153034300791557,0.7931972789115647,0.6930163447251114,1470.0
negative,0.7358997314234557,0.5905172413793104,0.6552411319250697,1392.0
accuracy,0.7154280338664158,0.7154280338664158,0.7154280338664158,0.7154280338664158
macro avg,0.7337343871675371,0.7139959671952797,0.7165927963992366,4252.0
weighted avg,0.7315071656532945,0.7154280338664158,0.7161203553214195,4252.0
