,precision,recall,f1-score,support
positive,0.78900883218842,0.7649857278782112,0.7768115942028986,1051.0
neutral,0.6650625601539942,0.7626931567328918,0.7105398457583547,906.0
negative,0.7014028056112225,0.5833333333333334,0.6369426751592356,600.0
accuracy,0.7215486898709426,0.7215486898709426,0.7215486898709426,0.7215486898709426
macro avg,0.7184913993178789,0.7036707393148122,0.7080980383734964,2557.0
weighted avg,0.724535254398233,0.7215486898709426,0.7205098517246215,2557.0
