,precision,recall,f1-score,support
positive,0.7164179104477612,0.35294117647058826,0.4729064039408867,544.0
neutral,1.0,0.05,0.09523809523809523,20.0
negative,0.7089905362776026,0.9239465570400822,0.8023203926818384,973.0
accuracy,0.7104749512036435,0.7104749512036435,0.7104749512036435,0.7104749512036435
macro avg,0.8084694822417878,0.44229591117022354,0.4568216306202735,1537.0
weighted avg,0.7154060735729925,0.7104749512036435,0.676528033655194,1537.0
