,precision,recall,f1-score,support
positive,0.8504016064257028,0.7576028622540251,0.8013245033112583,1118.0
neutral,0.739424703891709,0.8087600246761258,0.7725397760754272,1621.0
negative,0.7316538882803943,0.7083775185577943,0.7198275862068966,943.0
accuracy,0.7675176534492124,0.7675176534492124,0.7675176534492124,0.7675176534492124
macro avg,0.7738267328659353,0.758246801829315,0.7645639551978607,3682.0
weighted avg,0.7711314659535057,0.7675176534492124,0.7677797896559907,3682.0
