,precision,recall,f1-score,support
positive,0.7922339889056984,0.8190823774765381,0.8054345039733402,1918.0
neutral,0.7164979154258487,0.744430693069307,0.7301972685887709,1616.0
negative,0.6787807737397421,0.5902140672782875,0.6314067611777535,981.0
accuracy,0.7426356589147287,0.7426356589147287,0.7426356589147287,0.7426356589147287
macro avg,0.7291708926904298,0.7179090459413775,0.7223461779132881,4515.0
weighted avg,0.7404760489674391,0.7426356589147287,0.7406937314231885,4515.0
