,precision,recall,f1-score,support
positive,0.6388140161725068,0.43566176470588236,0.5180327868852459,544.0
neutral,1.0,0.05,0.09523809523809523,20.0
negative,0.7227467811158799,0.8653648509763617,0.7876520112254444,973.0
accuracy,0.7026675341574495,0.7026675341574495,0.7026675341574495,0.7026675341574495
macro avg,0.7871869324294622,0.4503422052274147,0.46697429778292854,1537.0
weighted avg,0.6966476531057871,0.7026675341574495,0.6832140565339577,1537.0
