,precision,recall,f1-score,support
positive,0.8114942528735632,0.7648970747562297,0.7875069715560513,923.0
neutral,0.7121418826739427,0.7903103709311128,0.7491926803013994,1321.0
negative,0.7382271468144044,0.6547911547911548,0.6940104166666666,814.0
accuracy,0.7465663832570307,0.7465663832570307,0.7465663832570307,0.7465663832570307
macro avg,0.7539544274539701,0.7366662001594991,0.7435700228413724,3058.0
weighted avg,0.7490730934995102,0.7465663832570307,0.7460683272043985,3058.0
