,precision,recall,f1-score,support
positive,0.8055122204888195,0.8076120959332638,0.8065607914605571,1918.0
neutral,0.7438173747622068,0.7258663366336634,0.7347322267460069,1616.0
negative,0.6443349753694582,0.6666666666666666,0.655310621242485,981.0
accuracy,0.7477297895902547,0.7477297895902547,0.7477297895902547,0.7477297895902547
macro avg,0.7312215235401616,0.7333816997445313,0.732201213149683,4515.0
weighted avg,0.748410615138587,0.7477297895902547,0.7479890577811237,4515.0
