,precision,recall,f1-score,support
negative,0.6403940886699507,0.5300713557594292,0.5800334634690463,981.0
neutral,0.7284196547144755,0.6788366336633663,0.7027546444586803,1616.0
positive,0.729631315430132,0.8357664233576643,0.77910085054678,1918.0
accuracy,0.7131782945736435,0.7131782945736435,0.7131782945736435,0.7131782945736435
macro avg,0.6994816862715195,0.6815581375934867,0.6872963194915022,4515.0
weighted avg,0.7098085550384956,0.7131782945736435,0.7085226499351243,4515.0
