,precision,recall,f1-score,support
negative,0.6136662286465178,0.7964752700397953,0.6932211776348343,1759.0
neutral,0.686471009305655,0.5360536612632756,0.6020087884494664,1789.0
positive,0.8108441158348737,0.7498575498575498,0.7791592658377738,1755.0
accuracy,0.6931925325287573,0.6931925325287573,0.6931925325287573,0.6931925325287573
macro avg,0.7036604512623489,0.6941288270535403,0.6914630773073581,5303.0
weighted avg,0.7034823600089091,0.6931925325287573,0.6908908703641452,5303.0
